ifInOctets11,ifOutOctets11,ifoutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcp?ActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
1060384,520867,0,3962,86,0,4688,111,0,5684,2929,21,1,132,0,13,489,309,0,0,5941,5786,5583,1,0,1,1,0,0,1,1,1,0,0,normal
1118913,546572,0,4168,91,0,5075,116,0,5998,3080,22,1,141,0,14,520,325,0,0,6061,6061,5787,1,0,1,1,0,0,1,1,1,0,0,normal
1193244,588359,0,4337,97,0,5462,122,0,6249,3274,23,1,153,0,15,557,349,0,0,6320,6329,6077,1,0,1,1,0,0,1,1,1,0,0,normal
1259368,632505,0,4644,102,0,5776,130,0,6602,3469,24,1,162,0,16,599,369,0,0,6537,6503,6384,1,0,1,1,0,0,1,1,1,0,0,normal
1306314,657878,0,4817,107,0,6013,136,0,6874,3676,25,1,173,0,17,617,388,0,0,6812,6702,6656,1,0,1,1,0,0,1,1,1,0,0,normal
1351547,705140,0,5074,111,0,6288,140,0,7045,3930,26,1,184,0,18,650,410,0,0,7045,7001,6975,1,0,1,1,0,0,1,1,1,0,0,normal
1410358,738198,0,5337,116,0,6618,145,0,7389,4244,27,1,196,0,19,678,434,0,0,7326,7206,7182,1,0,1,1,0,0,1,1,1,0,0,normal
1476715,770710,0,5675,124,0,6953,151,0,7723,4467,28,1,207,0,20,711,456,0,0,7574,7399,7436,1,0,1,1,0,0,1,1,1,0,0,normal
1523976,809093,0,5873,130,0,7343,157,0,8039,4657,29,1,224,0,21,741,475,0,0,7774,7580,7674,1,0,1,1,0,0,1,1,1,0,0,normal
1587024,845182,0,6105,137,0,7688,161,0,8297,4874,30,1,237,0,22,770,485,0,0,7993,7814,7899,1,0,1,1,0,0,1,1,1,0,0,normal
1644465,881220,0,6316,143,0,7987,166,0,8600,5143,31,1,248,0,23,802,503,0,0,8188,8122,8153,1,0,1,1,0,0,1,1,1,0,0,normal
1703790,914932,0,6585,148,0,8292,171,0,8946,5410,32,1,260,0,24,845,524,0,0,8421,8316,8441,1,0,1,1,0,0,1,1,1,0,0,normal
1764754,953334,0,6917,152,0,8630,176,0,9207,5591,33,1,272,0,25,881,549,0,0,8709,8540,8672,1,0,1,1,0,0,1,1,1,0,0,normal
1824456,978095,0,7205,156,0,8855,180,0,9480,5864,34,1,284,0,26,911,574,0,0,9047,8836,8957,1,0,1,1,0,0,1,1,1,0,0,normal
1886067,1017651,0,7522,161,0,9131,185,0,9841,6041,35,1,296,0,27,939,599,0,0,9317,9095,9183,1,0,1,1,0,0,1,1,1,0,0,normal
1932832,1061349,0,7757,165,0,9482,189,0,10053,6247,36,1,305,0,28,973,622,0,0,9571,9372,9510,1,0,1,1,0,0,1,1,1,0,0,normal
2001912,1087535,0,7980,170,0,9776,194,0,10367,6475,37,1,315,0,29,1009,639,0,0,9781,9632,9710,1,0,1,1,0,0,1,1,1,0,0,normal
2066809,1119991,0,8192,176,0,9950,200,0,10728,6697,38,1,326,0,31,1040,660,0,0,9979,9810,9980,1,0,1,1,0,0,1,1,1,0,0,normal
2123888,1148311,0,8470,182,0,10167,206,0,11033,6976,39,1,337,0,32,1064,683,0,0,10218,10042,10242,1,0,1,1,0,0,1,1,1,0,0,normal
2185639,1179021,0,8651,188,0,10472,212,0,11299,7240,40,1,348,0,33,1107,706,0,0,10500,10301,10595,1,0,1,1,0,0,1,1,1,0,0,normal
2252823,1221455,0,8850,195,0,10859,217,0,11598,7387,41,1,358,0,34,1134,725,0,0,10726,10615,10772,1,0,1,1,0,0,1,1,1,0,0,normal
2298079,1269014,0,8989,202,0,11177,222,0,11938,7585,42,1,367,0,35,1159,750,0,0,10918,10908,11016,1,0,1,1,0,0,1,1,1,0,0,normal
2351182,1306611,0,9197,209,0,11572,228,0,12192,7804,43,1,376,0,36,1200,768,0,0,11192,11181,11315,1,0,1,1,0,0,1,1,1,0,0,normal
2390335,1341938,0,9431,216,0,11796,234,0,12590,8045,44,1,391,0,37,1236,789,0,0,11407,11502,11493,1,0,1,1,0,0,1,1,1,0,0,normal
2455869,1377771,0,9615,220,0,12002,239,0,12891,8236,45,1,399,0,38,1259,810,0,0,11567,11762,11720,1,0,1,1,0,0,1,1,1,0,0,normal
2521201,1414546,0,9914,225,0,12311,245,0,13216,8417,46,1,414,0,39,1286,829,0,0,11758,12007,11960,1,0,1,1,0,0,1,1,1,0,0,normal
2558024,1448620,0,10209,230,0,12583,251,0,13497,8628,47,1,424,0,41,1317,848,0,0,12020,12213,12280,1,0,1,1,0,0,1,1,1,0,0,normal
2609499,1495098,0,10592,236,0,12836,258,0,13775,8830,48,1,437,0,42,1352,862,0,0,12141,12484,12541,1,0,1,1,0,0,1,1,1,0,0,normal
2674051,1531330,0,10849,243,0,13059,264,0,14014,9057,49,1,449,0,43,1379,882,0,0,12365,12773,12795,1,0,1,1,0,0,1,1,1,0,0,normal
2738097,1579980,0,11143,251,0,13369,270,0,14259,9369,50,1,458,0,44,1410,899,0,0,12581,13027,12929,1,0,1,1,0,0,1,1,1,0,0,normal
2796132,1613995,0,11390,254,0,13561,277,0,14509,9634,52,1,471,0,45,1435,917,0,0,12857,13261,13195,1,0,1,1,0,0,1,1,1,0,0,normal
2881655,1664705,0,11789,258,0,13989,282,0,14814,9883,53,1,482,0,46,1470,932,0,0,13172,13427,13466,1,0,1,1,0,0,1,1,1,0,0,normal
2934723,1713437,0,12046,264,0,14343,288,0,15151,10168,54,1,493,0,47,1499,951,0,0,13421,13609,13657,1,0,1,1,0,0,1,1,1,0,0,normal
3007313,1755364,0,12322,268,0,14690,294,0,15445,10413,55,1,505,0,48,1524,971,0,0,13699,13784,13829,1,0,1,1,0,0,1,1,1,0,0,normal
3049438,1799685,0,12435,273,0,15066,299,0,15648,10592,56,1,513,0,49,1560,996,0,0,13949,14038,14113,1,0,1,1,0,0,1,1,1,0,0,normal
3113084,1829814,0,12583,279,0,15394,305,0,15892,10892,57,1,524,0,50,1600,1018,0,0,14194,14245,14297,1,0,1,1,0,0,1,1,1,0,0,normal
3163454,1861583,0,12838,286,0,15721,310,0,16206,11066,58,1,535,0,51,1637,1030,0,0,14419,14486,14542,1,0,1,1,0,0,1,1,1,0,0,normal
3230188,1910688,0,13026,289,0,15957,318,0,16517,11317,59,1,545,0,52,1674,1059,0,0,14623,14778,14762,1,0,1,1,0,0,1,1,1,0,0,normal
3290525,1952205,0,13395,294,0,16304,324,0,16891,11479,60,1,554,0,53,1702,1076,0,0,14911,15098,14897,1,0,1,1,0,0,1,1,1,0,0,normal
3351827,2001229,0,13650,299,0,16575,328,0,17196,11765,61,1,565,0,55,1746,1097,0,0,15181,15335,15163,1,0,1,1,0,0,1,1,1,0,0,normal
3401728,2025333,0,13820,305,0,16832,334,0,17496,12019,62,1,577,0,56,1785,1120,0,0,15501,15508,15392,1,0,1,1,0,0,1,1,1,0,0,normal
3458104,2055388,0,14086,311,0,17044,341,0,17880,12334,63,1,585,0,57,1806,1143,0,0,15799,15744,15637,1,0,1,1,0,0,1,1,1,0,0,normal
3522807,2081492,0,14352,316,0,17355,346,0,18181,12547,64,1,597,0,58,1832,1162,0,0,16105,16031,15859,1,0,1,1,0,0,1,1,1,0,0,normal
3577597,2127148,0,14624,321,0,17712,352,0,18562,12750,65,1,609,0,59,1856,1177,0,0,16394,16190,16129,1,0,1,1,0,0,1,1,1,0,0,normal
3637288,2171788,0,14830,328,0,17960,357,0,18791,13027,66,1,617,0,60,1893,1191,0,0,16619,16412,16331,1,0,1,1,0,0,1,1,1,0,0,normal
3680464,2221448,0,15065,335,0,18242,362,0,19074,13324,67,1,630,0,61,1930,1212,0,0,16811,16630,16529,1,0,1,1,0,0,1,1,1,0,0,normal
3746044,2263858,0,15326,339,0,18466,368,0,19417,13561,68,1,638,0,62,1967,1232,0,0,16943,16834,16778,1,0,1,1,0,0,1,1,1,0,0,normal
3805503,2287645,0,15587,345,0,18748,375,0,19832,13725,69,1,647,0,63,2005,1248,0,0,17172,17150,17044,1,0,1,1,0,0,1,1,1,0,0,normal
3858721,2314939,0,15839,350,0,19035,382,0,20148,13978,70,1,653,0,64,2035,1265,0,0,17432,17406,17291,1,0,1,1,0,0,1,1,1,0,0,normal
3922891,2345920,0,16077,355,0,19379,387,0,20358,14155,72,1,664,0,65,2079,1285,0,0,17642,17632,17518,1,0,1,1,0,0,1,1,1,0,0,normal
3979753,2389024,0,16215,360,0,19801,392,0,20564,14399,73,1,673,0,66,2112,1299,0,0,17886,17933,17696,1,0,1,1,0,0,1,1,1,0,0,normal
4036821,2414365,0,16486,365,0,20072,397,0,20879,14617,74,1,686,0,67,2139,1325,0,0,18147,18129,18008,1,0,1,1,0,0,1,1,1,0,0,normal
4090898,2447064,0,16816,371,0,20353,404,0,21263,14845,75,1,697,0,68,2181,1346,0,0,18373,18392,18295,1,0,1,1,0,0,1,1,1,0,0,normal
4148527,2484264,0,17024,376,0,20705,410,0,21452,15091,76,1,705,0,69,2212,1369,0,0,18559,18620,18473,1,0,1,1,0,0,1,1,1,0,0,normal
4220939,2519194,0,17314,381,0,21203,415,0,21737,15357,77,1,718,0,70,2245,1389,0,0,18826,18874,18731,1,0,1,1,0,0,1,1,1,0,0,normal
4286313,2569582,0,17554,385,0,21508,420,0,21943,15594,78,1,730,0,71,2274,1416,0,0,19055,19049,19037,1,0,1,1,0,0,1,1,1,0,0,normal
4348767,2601389,0,17837,390,0,21765,426,0,22241,15799,79,1,742,0,72,2305,1436,0,0,19256,19308,19347,1,0,1,1,0,0,1,1,1,0,0,normal
4398171,2645103,0,18070,397,0,22102,431,0,22549,16050,80,1,752,0,73,2334,1462,0,0,19420,19562,19626,1,0,1,1,0,0,1,1,1,0,0,normal
4444663,2670346,0,18298,402,0,22394,436,0,22845,16364,81,1,761,0,74,2369,1482,0,0,19678,19794,19822,1,0,1,1,0,0,1,1,1,0,0,normal
4509833,2720172,0,18535,408,0,22644,442,0,23133,16580,82,1,772,0,75,2401,1501,0,0,19959,20065,20030,1,0,1,1,0,0,1,1,1,0,0,normal
4570149,2758450,0,18661,415,0,22897,449,0,23368,16804,83,1,783,0,76,2443,1528,0,0,20262,20330,20305,1,0,1,1,0,0,1,1,1,0,0,normal
4622785,2792012,0,18962,420,0,23205,455,0,23783,16969,84,1,790,0,77,2470,1552,0,0,20462,20579,20567,1,0,1,1,0,0,1,1,1,0,0,normal
4676785,2824490,0,19111,429,0,23543,463,0,24027,17244,85,1,803,0,78,2504,1572,0,0,20652,20804,20866,1,0,1,1,0,0,1,1,1,0,0,normal
4737807,2865647,0,19252,435,0,23940,469,0,24273,17524,86,1,813,0,79,2541,1595,0,0,20985,21026,21178,1,0,1,1,0,0,1,1,1,0,0,normal
4810263,2911699,0,19465,438,0,24270,474,0,24490,17784,87,1,822,0,80,2575,1627,0,0,21301,21318,21356,1,0,1,1,0,0,1,1,1,0,0,normal
4879725,2943302,0,19760,445,0,24644,478,0,24755,18091,88,1,834,0,81,2610,1651,0,0,21568,21555,21544,1,0,1,1,0,0,1,1,1,0,0,normal
4935524,2968775,0,20052,451,0,24850,483,0,25099,18285,89,1,842,0,82,2645,1674,0,0,21800,21852,21716,1,0,1,1,0,0,1,1,1,0,0,normal
5012965,3010878,0,20285,456,0,25247,488,0,25359,18533,90,1,852,0,83,2675,1695,0,0,21942,22101,21983,1,0,1,1,0,0,1,1,1,0,0,normal
5034768,3058409,0,20468,462,0,25581,493,0,25695,18744,91,1,864,0,84,2701,1715,0,0,22120,22307,22330,1,0,1,1,0,0,1,1,1,0,0,normal
5092864,3099909,0,20671,470,0,25873,499,0,25858,18980,92,1,873,0,85,2732,1734,0,0,22423,22548,22591,1,0,1,1,0,0,1,1,1,0,0,normal
5157536,3142723,0,20921,477,0,26228,505,0,26057,19209,93,1,882,0,86,2755,1754,0,0,22626,22846,22878,1,0,1,1,0,0,1,1,1,0,0,normal
5239450,3176884,0,21112,483,0,26651,511,0,26346,19493,94,1,892,0,87,2782,1785,0,0,22843,23129,23121,1,0,1,1,0,0,1,1,1,0,0,normal
5296897,3217682,0,21422,487,0,26958,518,0,26612,19767,95,1,900,0,88,2809,1800,0,0,23131,23378,23323,1,0,1,1,0,0,1,1,1,0,0,normal
5333208,3254404,0,21587,493,0,27306,524,0,26815,20023,96,1,911,0,89,2837,1827,0,0,23354,23722,23471,1,0,1,1,0,0,1,1,1,0,0,normal
5397494,3295588,0,21874,500,0,27580,531,0,27045,20232,97,1,921,0,90,2875,1854,0,0,23662,24008,23682,1,0,1,1,0,0,1,1,1,0,0,normal
5450378,3328932,0,22082,506,0,27862,536,0,27298,20442,98,1,930,0,91,2900,1882,0,0,24017,24222,23897,1,0,1,1,0,0,1,1,1,0,0,normal
5505877,3365807,0,22331,512,0,28152,540,0,27646,20644,99,1,938,0,92,2930,1900,0,0,24278,24451,24136,1,0,1,1,0,0,1,1,1,0,0,normal
5556952,3403309,0,22564,519,0,28566,544,0,27914,20918,100,1,948,0,93,2968,1920,0,0,24534,24714,24358,1,0,1,1,0,0,1,1,1,0,0,normal
5598582,3430059,0,22867,525,0,28929,549,0,28288,21167,101,1,957,0,94,3004,1940,0,0,24808,24893,24622,1,0,1,1,0,0,1,1,1,0,0,normal
5656977,3473922,0,23046,531,0,29084,553,0,28538,21325,102,1,969,0,95,3034,1957,0,0,25074,25142,24848,1,0,1,1,0,0,1,1,1,0,0,normal
5709013,3514433,0,23321,535,0,29369,559,0,28837,21591,103,1,979,0,96,3062,1975,0,0,25266,25284,25081,1,0,1,1,0,0,1,1,1,0,0,normal
5756068,3563636,0,23563,539,0,29720,565,0,29207,21815,104,1,989,0,97,3084,1997,0,0,25418,25593,25359,1,0,1,1,0,0,1,1,1,0,0,normal
5801198,3601975,0,23800,543,0,30077,571,0,29432,21998,105,1,999,0,98,3133,2015,0,0,25601,25884,25602,1,0,1,1,0,0,1,1,1,0,0,normal
5877367,3638093,0,24036,548,0,30435,577,0,29739,22203,106,1,1005,0,99,3168,2031,0,0,25835,26105,25846,1,0,1,1,0,0,1,1,1,0,0,normal
5934950,3660552,0,24223,554,0,30765,582,0,29920,22344,107,1,1015,0,100,3200,2057,0,0,26138,26259,26070,1,0,1,1,0,0,1,1,1,0,0,normal
5982626,3697305,0,24502,561,0,31078,588,0,30184,22595,108,1,1027,0,101,3224,2078,0,0,26373,26541,26321,1,0,1,1,0,0,1,1,1,0,0,normal
6002586,3729885,0,24627,568,0,31264,594,0,30427,22890,109,1,1042,0,102,3251,2098,0,0,26559,26855,26551,1,0,1,1,0,0,1,1,1,0,0,normal
6065225,3752472,0,24889,572,0,31686,599,0,30612,23118,110,1,1053,0,103,3286,2113,0,0,26806,27155,26759,1,0,1,1,0,0,1,1,1,0,0,normal
6140713,3797990,0,25161,578,0,31927,605,0,30921,23376,111,1,1061,0,104,3312,2125,0,0,26970,27492,26944,1,0,1,1,0,0,1,1,1,0,0,normal
6191232,3828261,0,25443,584,0,32289,612,0,31125,23738,112,1,1072,0,105,3353,2149,0,0,27270,27795,27243,1,0,1,1,0,0,1,1,1,0,0,normal
6259265,3865817,0,25776,588,0,32671,619,0,31376,23942,113,1,1082,0,106,3388,2168,0,0,27535,28032,27495,1,0,1,1,0,0,1,1,1,0,0,normal
6320189,3896156,0,26113,594,0,32912,625,0,31716,24124,114,1,1090,0,107,3417,2189,0,0,27864,28266,27693,1,0,1,1,0,0,1,1,1,0,0,normal
6411143,3939581,0,26435,598,0,33251,630,0,32003,24328,115,1,1097,0,108,3456,2207,0,0,28057,28521,27891,1,0,1,1,0,0,1,1,1,0,0,normal
6477367,3965903,0,26693,604,0,33572,635,0,32321,24590,116,1,1108,0,109,3495,2237,0,0,28386,28780,28114,1,0,1,1,0,0,1,1,1,0,0,normal
6531526,3998347,0,26899,608,0,33894,642,0,32644,24853,117,1,1119,0,110,3526,2257,0,0,28678,29069,28403,1,0,1,1,0,0,1,1,1,0,0,normal
6593521,4028631,0,27107,614,0,34236,648,0,32948,25105,118,1,1128,0,111,3561,2272,0,0,28885,29256,28628,1,0,1,1,0,0,1,1,1,0,0,normal
6655526,4057627,0,27405,620,0,34495,655,0,33129,25292,119,1,1140,0,112,3589,2295,0,0,29127,29478,28877,1,0,1,1,0,0,1,1,1,0,0,normal
6703843,4089057,0,27591,628,0,34766,660,0,33509,25533,120,1,1151,0,113,3622,2316,0,0,29470,29870,29129,1,0,1,1,0,0,1,1,1,0,0,normal
6772252,4125067,0,27822,635,0,35076,667,0,33821,25731,121,1,1157,0,114,3646,2334,0,0,29730,30037,29425,1,0,1,1,0,0,1,1,1,0,0,normal
6845102,4159962,0,28079,641,0,35337,671,0,34182,25917,122,1,1166,0,115,3685,2352,0,0,30003,30263,29680,1,0,1,1,0,0,1,1,1,0,0,normal
6887878,4198503,0,28338,649,0,35470,677,0,34455,26156,123,1,1178,0,116,3711,2372,0,0,30329,30502,29852,1,0,1,1,0,0,1,1,1,0,0,normal
6937768,4242447,0,28665,653,0,35777,683,0,34809,26387,124,1,1190,0,117,3753,2401,0,0,30605,30805,30191,1,0,1,1,0,0,1,1,1,0,0,normal
6980416,4281381,0,28931,658,0,36136,688,0,73045,26694,204,1,1203,0,118,3787,2418,0,0,30846,30950,30405,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
7040969,4325233,0,29221,663,0,36333,694,0,118412,26968,328,1,1214,0,119,3829,2436,0,0,31110,31211,30693,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
7096576,4372871,0,29543,670,0,36683,699,0,159232,27161,452,1,1226,0,120,3854,2453,0,0,31289,31451,30920,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
7154220,4410442,0,29737,676,0,36950,705,0,197893,27356,601,1,1236,0,121,3882,2476,0,0,31544,31786,31238,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
7211075,4458167,0,29998,683,0,37276,711,0,247533,27580,712,1,1248,0,122,3921,2483,0,0,31747,32120,31498,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
7271921,4487536,0,30237,687,0,37414,716,0,287232,27793,863,1,1258,0,123,3953,2509,0,0,32019,32344,31794,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
7327527,4527262,0,30507,691,0,37816,721,0,328975,27997,949,1,1270,0,124,3986,2522,0,0,32251,32550,32107,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
7399594,4559780,0,30771,696,0,38129,726,0,361112,28229,1083,1,1278,0,125,4014,2538,0,0,32437,32801,32318,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
7438437,4591027,0,30971,701,0,38386,733,0,361468,28471,1084,1,1288,0,126,4032,2555,0,0,32663,32961,32560,1,0,1,1,0,0,1,1,1,0,0,normal
7492340,4625086,0,31170,708,0,38657,739,0,361659,28714,1085,1,1300,0,128,4059,2577,0,0,32891,33254,32808,1,0,1,1,0,0,1,1,1,0,0,normal
7546479,4641370,0,31387,715,0,38958,745,0,361947,28973,1086,1,1313,0,129,4092,2598,0,0,33096,33553,33061,1,0,1,1,0,0,1,1,1,0,0,normal
7618929,4673243,0,31716,720,0,39374,751,0,362334,29122,1087,1,1322,0,130,4136,2619,0,0,33406,33819,33339,1,0,1,1,0,0,1,1,1,0,0,normal
7681385,4712920,0,31961,725,0,39580,756,0,362655,29301,1088,1,1331,0,131,4169,2641,0,0,33675,34059,33559,1,0,1,1,0,0,1,1,1,0,0,normal
7761508,4754147,0,32259,731,0,39910,762,0,362909,29587,1089,1,1342,0,132,4206,2662,0,0,33886,34303,33724,1,0,1,1,0,0,1,1,1,0,0,normal
7836953,4795103,0,32513,736,0,40157,766,0,363221,29796,1090,1,1356,0,133,4244,2679,0,0,34026,34583,34004,1,0,1,1,0,0,1,1,1,0,0,normal
7902386,4822788,0,32692,742,0,40423,771,0,363622,30014,1091,1,1370,0,134,4277,2702,0,0,34313,34809,34216,1,0,1,1,0,0,1,1,1,0,0,normal
7978368,4873922,0,32922,745,0,40778,777,0,363854,30251,1092,1,1382,0,135,4321,2717,0,0,34588,35079,34465,1,0,1,1,0,0,1,1,1,0,0,normal
8034806,4904276,0,33127,751,0,41197,783,0,364156,30415,1093,1,1392,0,136,4366,2737,0,0,34801,35339,34697,1,0,1,1,0,0,1,1,1,0,0,normal
8072808,4945855,0,33422,756,0,41504,787,0,364445,30679,1094,1,1404,0,137,4391,2760,0,0,35109,35662,34866,1,0,1,1,0,0,1,1,1,0,0,normal
8135827,4991102,0,33751,763,0,41812,792,0,364785,30871,1095,1,1417,0,138,4419,2783,0,0,35291,35883,35167,1,0,1,1,0,0,1,1,1,0,0,normal
8188484,5024511,0,34028,769,0,42161,797,0,365047,31084,1096,1,1427,0,139,4440,2801,0,0,35533,36122,35455,1,0,1,1,0,0,1,1,1,0,0,normal
8249345,5057351,0,34298,775,0,42457,803,0,365360,31261,1097,1,1439,0,140,4465,2821,0,0,35845,36423,35600,1,0,1,1,0,0,1,1,1,0,0,normal
8318923,5101734,0,34541,780,0,42695,807,0,365657,31553,1098,1,1452,0,140,4492,2843,0,0,36128,36675,35827,1,0,1,1,0,0,1,1,1,0,0,normal
8372861,5145060,0,34694,786,0,42922,813,0,365908,31741,1099,1,1464,0,141,4524,2860,0,0,36342,36843,36105,1,0,1,1,0,0,1,1,1,0,0,normal
8432184,5170758,0,34957,791,0,43242,820,0,366193,31962,1100,1,1471,0,142,4564,2881,0,0,36663,37056,36265,1,0,1,1,0,0,1,1,1,0,0,normal
8518772,5208592,0,35146,798,0,43629,826,0,366447,32155,1101,1,1480,0,143,4594,2905,0,0,36911,37315,36467,1,0,1,1,0,0,1,1,1,0,0,normal
8572059,5247346,0,35411,804,0,43908,832,0,366699,32420,1102,1,1489,0,144,4623,2921,0,0,37135,37571,36753,1,0,1,1,0,0,1,1,1,0,0,normal
8616916,5292006,0,35586,811,0,44293,838,0,367049,32686,1103,1,1499,0,145,4657,2938,0,0,37335,37811,36939,1,0,1,1,0,0,1,1,1,0,0,normal
8677575,5340372,0,35892,816,0,44549,843,0,367309,32965,1104,1,1510,0,146,4684,2962,0,0,37627,37966,37240,1,0,1,1,0,0,1,1,1,0,0,normal
8745338,5374452,0,36125,823,0,44870,849,0,367601,33220,1105,1,1522,0,147,4719,2979,0,0,37884,38294,37450,1,0,1,1,0,0,1,1,1,0,0,normal
8822096,5411660,0,36391,831,0,45117,855,0,367897,33419,1106,1,1533,0,148,4755,3004,0,0,38114,38569,37643,1,0,1,1,0,0,1,1,1,0,0,normal
8863246,5450371,0,36706,840,0,45444,859,0,368253,33691,1107,1,1538,0,149,4789,3021,0,0,38374,38764,37832,1,0,1,1,0,0,1,1,1,0,0,normal
8934797,5490943,0,36972,848,0,45722,864,0,368585,33941,1108,1,1550,0,150,4825,3043,0,0,38538,39044,38070,1,0,1,1,0,0,1,1,1,0,0,normal
8995054,5522861,0,37250,854,0,45986,871,0,400721,34192,1252,1,1564,0,151,4850,3068,0,0,38793,39288,38361,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
9049453,5565321,0,37544,858,0,46300,875,0,433913,34384,1406,1,1577,0,152,4885,3089,0,0,39050,39578,38608,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
9094517,5589360,0,37743,865,0,46613,882,0,465616,34645,1519,1,1589,0,153,4919,3111,0,0,39291,39843,38888,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
9169657,5620559,0,38006,870,0,46801,888,0,509506,34935,1627,1,1603,0,154,4936,3131,0,0,39589,40021,39145,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
9233787,5657110,0,38230,877,0,47125,892,0,546994,35141,1760,1,1609,0,155,4976,3154,0,0,39866,40346,39342,1,0,1,1,0,0,1,1,1,0,0,tcp-syn
9298651,5695492,0,38412,881,0,47465,897,0,547227,35394,1761,1,1618,0,156,5007,3172,0,0,40084,40679,39557,1,0,1,1,0,0,1,1,1,0,0,normal
9353241,5726916,0,38654,888,0,47808,901,0,547495,35641,1762,1,1630,0,157,5041,3192,0,0,40268,40873,39857,1,0,1,1,0,0,1,1,1,0,0,normal
9403198,5757297,0,38968,893,0,48154,908,0,547767,35878,1763,1,1641,0,158,5079,3215,0,0,40534,41207,40080,1,0,1,1,0,0,1,1,1,0,0,normal
9452558,5797374,0,39140,900,0,48503,913,0,547997,36179,1764,1,1649,0,159,5109,3232,0,0,40850,41504,40356,1,0,1,1,0,0,1,1,1,0,0,normal
9489941,5819734,0,39417,906,0,48898,920,0,548304,36355,1765,1,1657,0,160,5150,3262,0,0,41136,41709,40665,1,0,1,1,0,0,1,1,1,0,0,normal
9548017,5856782,0,39667,910,0,49288,926,0,548615,36605,1766,1,1670,0,161,5186,3282,0,0,41434,41990,40883,1,0,1,1,0,0,1,1,1,0,0,normal
9591462,5883137,0,39964,916,0,49558,932,0,548888,36856,1767,1,1683,0,162,5228,3300,0,0,41638,42292,41107,1,0,1,1,0,0,1,1,1,0,0,normal
